#       time                 chi                 phi               lapse
   4.8750000    7.0139958705e-01    3.0920165505e-02    9.6307032936e-01
   4.9000000    7.0093072323e-01    2.9879788778e-02    9.6464600907e-01
   4.9250000    7.0047897298e-01    2.8816042577e-02    9.6618334209e-01
   4.9500000    7.0004526528e-01    2.7728724501e-02    9.6768016631e-01
   4.9750000    6.9963054502e-01    2.6617657614e-02    9.6913425659e-01
   5.0000000    6.9923577198e-01    2.5482694532e-02    9.7054332774e-01
   5.0250000    6.9886191996e-01    2.4323721832e-02    9.7190503819e-01
   5.0500000    6.9850997609e-01    2.3140664738e-02    9.7321699421e-01
   5.0750000    6.9818093994e-01    2.1933492058e-02    9.7447675489e-01
   5.1000000    6.9787582251e-01    2.0702221290e-02    9.7568183761e-01
   5.1250000    6.9759564465e-01    1.9446923830e-02    9.7682972429e-01
   5.1500000    6.9734143491e-01    1.8167730178e-02    9.7791786839e-01
   5.1750000    6.9711422673e-01    1.6864834994e-02    9.7894370266e-01
   5.2000000    6.9691505465e-01    1.5538501875e-02    9.7990464788e-01
   5.2250000    6.9674494981e-01    1.4189067668e-02    9.8079812246e-01
   5.2500000    6.9660493450e-01    1.2816946125e-02    9.8162155317e-01
   5.2750000    6.9649601603e-01    1.1422630701e-02    9.8237238683e-01
   5.3000000    6.9641917990e-01    1.0006696274e-02    9.8304810308e-01
   5.3250000    6.9637538253e-01    8.5697996053e-03    9.8364622806e-01
   5.3500000    6.9636554374e-01    7.1126783288e-03    9.8416434896e-01
   5.3750000    6.9639053923e-01    5.6361483463e-03    9.8460012915e-01
   5.4000000    6.9645119319e-01    4.1410995110e-03    9.8495132370e-01
   5.4250000    6.9654827140e-01    2.6284895729e-03    9.8521579486e-01
   5.4500000    6.9668247493e-01    1.0993364212e-03    9.8539152732e-01
   5.4750000    6.9685443465e-01   -4.4529125187e-04    9.8547664269e-01
   5.5000000    6.9706470658e-01   -2.0042846592e-03    9.8546941283e-01
   5.5250000    6.9731376830e-01   -3.5765067115e-03    9.8536827181e-01
   5.5500000    6.9760201622e-01   -5.1608045387e-03    9.8517182592e-01
   5.5750000    6.9792976386e-01   -6.7560223324e-03    9.8487886171e-01
   5.6000000    6.9829724088e-01   -8.3610140771e-03    9.8448835173e-01
   5.6250000    6.9870459283e-01   -9.9746557354e-03    9.8399945787e-01
   5.6500000    6.9915188149e-01   -1.1595856478e-02    9.8341153245e-01
   5.6750000    6.9963908549e-01   -1.3223568602e-02    9.8272411707e-01
   5.7000000    7.0016610117e-01   -1.4856795848e-02    9.8193693944e-01
   5.7250000    7.0073274356e-01   -1.6494599914e-02    9.8104990853e-01
   5.7500000    7.0133874718e-01   -1.8136105056e-02    9.8006310827e-01
   5.7750000    7.0198376678e-01   -1.9780500756e-02    9.7897679037e-01
   5.8000000    7.0266737785e-01   -2.1427042512e-02    9.7779136642e-01
   5.8250000    7.0338907688e-01   -2.3075050902e-02    9.7650739985e-01
   5.8500000    7.0414828150e-01   -2.4723909093e-02    9.7512559798e-01
   5.8750000    7.0494433042e-01   -2.6373059047e-02    9.7364680447e-01
   5.9000000    7.0577648327e-01   -2.8021996665e-02    9.7207199251e-01
   5.9250000    7.0664392052e-01   -2.9670266139e-02    9.7040225882e-01
   5.9500000    7.0754574335e-01   -3.1317453759e-02    9.6863881866e-01
   5.9750000    7.0848097380e-01   -3.2963181424e-02    9.6678300181e-01
   6.0000000    7.0944855500e-01   -3.4607100058e-02    9.6483624960e-01
   6.0250000    7.1044735168e-01   -3.6248883135e-02    9.6280011291e-01
   6.0500000    7.1147615095e-01   -3.7888220442e-02    9.6067625094e-01
   6.0750000    7.1253366330e-01   -3.9524812225e-02    9.5846643075e-01
   6.1000000    7.1361852383e-01   -4.1158363794e-02    9.5617252736e-01
   6.1250000    7.1472929372e-01   -4.2788580652e-02    9.5379652420e-01
   6.1500000    7.1586446186e-01   -4.4415164197e-02    9.5134051384e-01
   6.1750000    7.1702244665e-01   -4.6037807993e-02    9.4880669879e-01
   6.2000000    7.1820159783e-01   -4.7656194638e-02    9.4619739225e-01
   6.2250000    7.1940019856e-01   -4.9269993180e-02    9.4351501865e-01
   6.2500000    7.2061646745e-01   -5.0878857090e-02    9.4076211403e-01
   6.2750000    7.2184856071e-01   -5.2482422730e-02    9.3794132595e-01
   6.3000000    7.2309457453e-01   -5.4080308291e-02    9.3505541310e-01
   6.3250000    7.2435254739e-01   -5.5672113167e-02    9.3210724445e-01
   6.3500000    7.2562046276e-01   -5.7257417692e-02    9.2909979794e-01
   6.3750000    7.2689625187e-01   -5.8835783235e-02    9.2603615875e-01
   6.4000000    7.2817779686e-01   -6.0406752582e-02    9.2291951708e-01
   6.4250000    7.2946293421e-01   -6.1969850569e-02    9.1975316550e-01
