#       time                 chi                 phi               lapse
   1.0250000    6.7930416246e-01    4.4049039707e-02    6.7409491181e-01
   1.0291667    6.7928876384e-01    4.4196203194e-02    6.7412028575e-01
   1.0333333    6.7927319947e-01    4.4342999123e-02    6.7414594287e-01
   1.0375000    6.7925746841e-01    4.4489426329e-02    6.7417188494e-01
   1.0416667    6.7924156973e-01    4.4635483649e-02    6.7419811374e-01
   1.0458333    6.7922550246e-01    4.4781169920e-02    6.7422463101e-01
   1.0500000    6.7920926562e-01    4.4926483985e-02    6.7425143851e-01
   1.0541667    6.7919285820e-01    4.5071424685e-02    6.7427853798e-01
   1.0583333    6.7917627913e-01    4.5215990866e-02    6.7430593115e-01
   1.0625000    6.7915952736e-01    4.5360181376e-02    6.7433361976e-01
   1.0666667    6.7914260176e-01    4.5503995062e-02    6.7436160552e-01
   1.0708333    6.7912550119e-01    4.5647430778e-02    6.7438989016e-01
   1.0750000    6.7910822449e-01    4.5790487377e-02    6.7441847538e-01
   1.0791667    6.7909077048e-01    4.5933163715e-02    6.7444736289e-01
   1.0833333    6.7907313792e-01    4.6075458650e-02    6.7447655439e-01
   1.0875000    6.7905532561e-01    4.6217371044e-02    6.7450605158e-01
   1.0916667    6.7903733229e-01    4.6358899759e-02    6.7453585616e-01
   1.0958333    6.7901915673e-01    4.6500043663e-02    6.7456596982e-01
   1.1000000    6.7900079769e-01    4.6640801623e-02    6.7459639424e-01
   1.1041667    6.7898225392e-01    4.6781172510e-02    6.7462713113e-01
   1.1083333    6.7896352419e-01    4.6921155199e-02    6.7465818216e-01
   1.1125000    6.7894460727e-01    4.7060748564e-02    6.7468954903e-01
   1.1166667    6.7892550196e-01    4.7199951486e-02    6.7472123342e-01
   1.1208333    6.7890620707e-01    4.7338762847e-02    6.7475323703e-01
   1.1250000    6.7888672140e-01    4.7477181530e-02    6.7478556155e-01
   1.1291667    6.7886704381e-01    4.7615206423e-02    6.7481820867e-01
   1.1333333    6.7884717314e-01    4.7752836416e-02    6.7485118009e-01
   1.1375000    6.7882710825e-01    4.7890070403e-02    6.7488447751e-01
   1.1416667    6.7880684802e-01    4.8026907278e-02    6.7491810264e-01
   1.1458333    6.7878639134e-01    4.8163345941e-02    6.7495205719e-01
   1.1500000    6.7876573708e-01    4.8299385294e-02    6.7498634288e-01
   1.1541667    6.7874488415e-01    4.8435024240e-02    6.7502096143e-01
   1.1583333    6.7872383143e-01    4.8570261688e-02    6.7505591456e-01
   1.1625000    6.7870257781e-01    4.8705096546e-02    6.7509120402e-01
   1.1666667    6.7868112217e-01    4.8839527729e-02    6.7512683155e-01
   1.1708333    6.7865946338e-01    4.8973554152e-02    6.7516279889e-01
   1.1750000    6.7863760031e-01    4.9107174733e-02    6.7519910780e-01
   1.1791667    6.7861553182e-01    4.9240388395e-02    6.7523576004e-01
   1.1833333    6.7859325674e-01    4.9373194061e-02    6.7527275740e-01
   1.1875000    6.7857077393e-01    4.9505590658e-02    6.7531010165e-01
   1.1916667    6.7854808220e-01    4.9637577116e-02    6.7534779457e-01
   1.1958333    6.7852518039e-01    4.9769152368e-02    6.7538583796e-01
   1.2000000    6.7850206733e-01    4.9900315348e-02    6.7542423363e-01
